	Astrocyte	Excitatory	Inhibitory	Oligodendrocyte	Microglia	OPC	unknown	Endothelial
21185180	0.45060945	0.041890685	0.1420419	0.17865106	0.0	0.032387096	0.07781316	0.07660663
21189544	0.47189024	0.06896715	0.16737024	0.15853742	0.0	0.011079878	0.06714409	0.055010978
21191200	0.46069688	0.053540125	0.1614182	0.18697006	0.0	0.0071232505	0.06795305	0.06229843
21193068	0.441172	0.09767792	0.18136688	0.15033081	0.0	0.0	0.07024713	0.059205297
21232244	0.47919202	0.029591681	0.14686805	0.18840572	0.0	0.016433347	0.064249024	0.075260185
21272396	0.4651347	0.032494858	0.1474913	0.19494931	0.0	0.012332784	0.06934978	0.07824725
21274280	0.46986017	0.03570077	0.13734095	0.14540924	0.0	0.017076159	0.084843285	0.10976945
21274866	0.43302435	0.05984253	0.16319717	0.2154891	0.0	0.009987401	0.061227903	0.05723156
21293107	0.49242857	0.0	0.13027883	0.17373525	0.007435241	0.016189752	0.08142983	0.09850259
21362537	0.37374467	0.09873819	0.18408974	0.20764667	0.0	0.00061799603	0.0795595	0.055603307
21402016	0.41616675	0.062386516	0.16138102	0.20853801	0.0	0.011255111	0.07504704	0.06522548
21402304	0.48678958	0.023465674	0.15311669	0.1840745	0.0	0.011162757	0.06844186	0.072948925
21403733	0.45032376	0.037480235	0.14256124	0.1812246	0.0	0.030026736	0.08005545	0.07832796
21405627	0.41681632	0.044890642	0.15115294	0.20345698	0.0	0.01566652	0.08465197	0.08336463
21407511	0.4743392	0.0166783	0.14479181	0.19811465	0.0	0.013072254	0.0738027	0.0792011
21411297	0.47449517	0.008774494	0.13434465	0.19934665	0.0	0.019984309	0.07619178	0.086862914
21411323	0.40586185	0.05943114	0.1594456	0.21112555	0.0	0.017545974	0.08074021	0.06584972
21411459	0.4914633	0.02359719	0.15378506	0.17147475	0.0034550733	0.005882015	0.07340665	0.07693591
21412752	0.44023174	0.047958583	0.15620461	0.14819667	0.017751075	0.0	0.09206583	0.097591445
21413181	0.45702532	0.02180598	0.14587516	0.19584724	0.0	0.011638823	0.07952617	0.088281326
